section_id,section_number,quarter,day,time,half_credit
7,01,1,4,2,0
7,85,1,5,2,0
8,81,1,1,3,0
11,01,1,1,2,0
11,02,1,2,2,0
11,81,1,1,3,0
12,01,1,2,2,0
12,02,1,3,2,0
12,85,1,5,2,0
14,01,1,0,2,0
14,02,1,1,2,0
14,81,1,1,3,0
17,01,1,1,2,0
17,81,1,0,3,0
19,81,1,4,3,0
19,85,1,5,4,0
21,60,1,3,5,0
22,50,1,2,4,0
25,50,1,1,1,0
33,81,1,0,3,0
34,82,1,2,3,0
34,85,1,5,4,0
37,81,1,1,3,0
40,01,1,1,1,0
40,02,1,1,2,0
41,81,1,3,3,0
41,85,1,5,4,0
45,01,1,4,2,0
45,81,1,4,3,0
45,85,1,5,4,0
46,01,1,1,1,1
46,81,1,1,3,1
52,01,1,3,1,0
52,81,1,3,3,0
52,85,1,5,4,0
54,01,1,3,2,0
54,81,1,3,3,0
54,85,1,5,4,0
60,01,1,2,1,0
60,81,1,2,3,0
60,85,1,5,2,0
63,60,1,2,5,0
65,60,1,0,6,0
70,50,1,2,7,0
74,01,1,0,2,0
74,81,1,0,3,0
77,01,1,1,2,0
77,85,1,5,2,0
78,02,1,3,2,0
79,01,1,0,1,0
79,81,1,0,3,0
83,01,1,4,1,0
83,85,1,5,4,0
85,01,1,2,1,0
86,01,1,1,2,0
86,81,1,1,3,0
88,01,1,4,2,0
90,01,1,0,8,0
94,01,1,4,2,0
95,01,1,1,1,0
96,85,1,5,2,0
99,01,1,4,1,0
99,81,1,4,3,0
99,85,1,5,4,0
100,02,1,0,1,0
100,03,1,0,2,0
100,82,1,0,3,0
105,81,1,0,3,0
109,01,1,1,1,0
109,81,1,1,3,0
112,85,1,5,4,0
115,01,1,1,1,0
115,81,1,0,3,0
115,82,1,1,3,0
116,02,1,1,1,0
116,04,1,2,1,0
122,01,1,1,2,0
122,81,1,1,3,0
124,01,1,3,1,0
124,02,1,3,2,0
124,81,1,3,3,0
126,01,1,3,2,0
126,85,1,5,2,0
127,01,1,3,2,0
127,81,1,3,3,0
128,01,1,1,1,0
128,81,1,0,3,0
130,60,1,1,5,0
134,50,1,0,1,0
138,50,1,2,1,0
142,50,1,1,9,0
146,01,1,4,2,0
146,81,1,4,3,0
146,85,1,5,2,0
149,02,1,2,1,0
149,03,1,4,1,0
150,01,1,3,2,0
150,81,1,4,3,0
154,50,1,6,10,0
156,50,1,2,1,0
157,50,1,1,2,0
160,01,1,2,2,0
160,02,1,3,1,0
160,81,1,2,3,0
161,03,1,3,1,0
164,81,1,3,3,0
164,85,1,5,4,0
165,01,1,2,2,0
165,02,1,2,1,0
165,81,1,2,3,0
167,01,1,2,2,0
167,81,1,2,3,0
172,81,1,3,3,0
173,01,1,3,1,0
173,81,1,2,3,0
176,01,1,3,1,0
176,81,1,2,3,0
180,60,1,1,11,0
183,50,1,4,1,0
187,50,1,2,1,0
189,01,1,1,1,0
189,02,1,1,2,0
189,81,1,0,3,0
193,01,1,4,1,0
193,02,1,4,2,0
193,85,1,5,2,0
195,01,1,1,1,0
195,81,1,1,3,0
197,81,1,3,3,1
202,01,1,1,1,0
202,02,1,1,2,0
202,81,1,1,3,0
203,03,1,0,2,0
203,82,1,0,3,0
203,85,1,5,2,0
204,04,1,2,2,0
204,83,1,2,3,0
208,85,1,5,2,0
211,01,1,1,1,0
211,81,1,1,3,0
213,60,1,0,12,0
216,50,1,0,2,0
219,50,1,0,13,0
220,01,1,2,2,0
220,03,1,3,1,0
220,81,1,3,3,0
221,02,1,4,2,0
221,82,1,4,3,0
223,01,1,4,1,0
223,81,1,3,3,0
223,85,1,5,4,0
229,01,1,3,1,0
229,81,1,2,3,0
230,02,1,3,2,0
230,03,1,4,2,0
230,82,1,3,3,0
234,01,1,3,1,0
234,81,1,3,3,0
234,85,1,5,4,0
238,01,1,3,7,0
238,81,1,3,3,0
246,81,1,4,3,0
246,85,1,5,4,0
251,01,1,3,1,0
251,81,1,2,3,0
255,01,1,2,2,0
255,81,1,2,3,0
256,01,1,4,2,0
256,81,1,4,3,0
260,60,1,3,5,0
263,50,1,2,1,0
265,50,1,4,2,0
270,01,1,4,1,0
270,85,1,5,2,0
271,02,1,2,1,0
271,03,1,3,2,0
271,81,1,2,3,0
273,01,1,2,2,0
273,81,1,3,3,0
275,01,1,4,2,0
275,81,1,4,3,0
276,01,1,2,2,0
276,81,1,2,3,0
280,81,1,2,3,0
287,01,1,0,5,0
287,02,1,0,9,0
287,81,1,0,14,0
288,81,1,0,15,0
